table,column,data_type,non_null_count,null_count,null_percent,unique_values
customers,customer_id,object,99441,0,0.0,99441
customers,customer_unique_id,object,99441,0,0.0,96096
customers,customer_zip_code_prefix,int64,99441,0,0.0,14994
customers,customer_city,object,99441,0,0.0,4119
customers,customer_state,object,99441,0,0.0,27
geolocation,geolocation_zip_code_prefix,int64,1000163,0,0.0,19015
geolocation,geolocation_lat,float64,1000163,0,0.0,717360
geolocation,geolocation_lng,float64,1000163,0,0.0,717613
geolocation,geolocation_city,object,1000163,0,0.0,8011
geolocation,geolocation_state,object,1000163,0,0.0,27
orders,order_id,object,99441,0,0.0,99441
orders,customer_id,object,99441,0,0.0,99441
orders,order_status,object,99441,0,0.0,8
orders,order_purchase_timestamp,object,99441,0,0.0,98875
orders,order_approved_at,object,99281,160,0.16,90733
orders,order_delivered_carrier_date,object,97658,1783,1.79,81018
orders,order_delivered_customer_date,object,96476,2965,2.98,95664
orders,order_estimated_delivery_date,object,99441,0,0.0,459
order_items,order_id,object,112650,0,0.0,98666
order_items,order_item_id,int64,112650,0,0.0,21
order_items,product_id,object,112650,0,0.0,32951
order_items,seller_id,object,112650,0,0.0,3095
order_items,shipping_limit_date,object,112650,0,0.0,93318
order_items,price,float64,112650,0,0.0,5968
order_items,freight_value,float64,112650,0,0.0,6999
payments,order_id,object,103886,0,0.0,99440
payments,payment_sequential,int64,103886,0,0.0,29
payments,payment_type,object,103886,0,0.0,5
payments,payment_installments,int64,103886,0,0.0,24
payments,payment_value,float64,103886,0,0.0,29077
reviews,review_id,object,99224,0,0.0,98410
reviews,order_id,object,99224,0,0.0,98673
reviews,review_score,int64,99224,0,0.0,5
reviews,review_comment_title,object,11568,87656,88.34,4527
reviews,review_comment_message,object,40977,58247,58.7,36159
reviews,review_creation_date,object,99224,0,0.0,636
reviews,review_answer_timestamp,object,99224,0,0.0,98248
products,product_id,object,32951,0,0.0,32951
products,product_category_name,object,32341,610,1.85,73
products,product_name_lenght,float64,32341,610,1.85,66
products,product_description_lenght,float64,32341,610,1.85,2960
products,product_photos_qty,float64,32341,610,1.85,19
products,product_weight_g,float64,32949,2,0.01,2204
products,product_length_cm,float64,32949,2,0.01,99
products,product_height_cm,float64,32949,2,0.01,102
products,product_width_cm,float64,32949,2,0.01,95
sellers,seller_id,object,3095,0,0.0,3095
sellers,seller_zip_code_prefix,int64,3095,0,0.0,2246
sellers,seller_city,object,3095,0,0.0,611
sellers,seller_state,object,3095,0,0.0,23
category_translation,product_category_name,object,71,0,0.0,71
category_translation,product_category_name_english,object,71,0,0.0,71
